城市名称,日期,aqi,pm25,pm10,co,so2,o3,no2,主要污染物
伊宁,2017/9/19,64,32,79,0.9,11,127.33,17,颗粒物(PM10)
塔城,2017/9/19,40,6,14,0.3,0,125,22,无
哈密,2017/9/19,41,10,36,0.85,36.5,132,8.5,无
和田,2017/9/19,122,37,193,0.5,29,96.5,6.5,颗粒物(PM10)
阿勒泰,2017/9/19,44,6,51,0.5,1.5,82.5,4,颗粒物(PM10)
阿图什,2017/9/19,50,14,50,1,5,115,3,无
博乐,2017/9/19,68,21,86,0.6,8,129,11,颗粒物(PM10)
拉萨,2017/9/19,25,8,18,0.48,7,70.67,5,无
日喀则,2017/9/19,18,5,18,0.15,2,33.5,1,无
山南,2017/9/19,11,4,7,0.2,2,35,2.5,无
林芝,2017/9/19,11,3,11,0.15,0.5,26,4.5,无
昌都,2017/9/19,43,11,61,0.2,3,30.5,1.5,颗粒物(PM10)
那曲,2017/9/19,50,23,36,0.55,5,66,9.5,颗粒物(PM10)
阿里,2017/9/19,42,1,8,0.4,2,132,5,无
